word,gold,pred,context
bomb,NOUN,VERB,- launched bomb .
hope,NOUN,VERB,and his hope in peace
mistakes,NOUN,VERB,"people make mistakes , so"
bomb,NOUN,VERB,a car bomb outside a
move,NOUN,VERB,otherwise this move was a
standing,NOUN,VERB,for US standing with local
passing,NOUN,VERB,Arafat 's passing for al
strike,NOUN,VERB,a general strike .
fight,NOUN,VERB,in a fight that left
fighting,NOUN,VERB,that of fighting and jihad
be,VERB,AUX,there will be a wave
's,VERB,AUX,; there 's a punchline
was,VERB,AUX,", there was a big"
had,VERB,AUX,of people had to die
do,VERB,AUX,cartoonists to do their best
had,VERB,AUX,", people had to die"
been,VERB,AUX,there have been tensions with
have,VERB,AUX,will not have .
has,VERB,AUX,that Israel has over 200
has,VERB,AUX,North Korea has at least
A,X,DET,A la guerre
a,X,DET,c'est comme a la guerre
A,X,DET,P D A T E
a,X,DET,it s a ammazing and
la,X,PROPN,A la guerre c'est
la,X,PROPN,comme a la guerre !
Déjà,X,PROPN,feeling of Déjà vu .
Bryngelson@AZURIX,X,PROPN,Robert Bryngelson@AZURIX
Warner@ENRON,X,PROPN,Traci Warner@ENRON COMMUNICATIONS on
Griffith@ENRON,X,PROPN,John Griffith@ENRON
GISB,X,PROPN,Power ( GISB draft )
ENRON-CPS,X,PROPN,- ENRON-CPS ( GISB
GISB,X,PROPN,ENRON-CPS ( GISB rev1 )
de,X,PROPN,remember is de lunde bar
guerre,X,NOUN,A la guerre c'est comme
c'est,X,NOUN,la guerre c'est comme a
comme,X,NOUN,guerre c'est comme a la
guerre,X,NOUN,a la guerre !
vu,X,NOUN,of Déjà vu .
post,X,NOUN,"fallacy , post hoc ergo"
hoc,X,NOUN,", post hoc ergo propter"
ergo,X,NOUN,post hoc ergo propter hoc
propter,X,NOUN,hoc ergo propter hoc (
hoc,X,NOUN,ergo propter hoc ( Z
outside,ADP,ADV,car bomb outside a police
outside,ADP,ADV,told reporters outside federal court
back,ADP,ADV,broker called back shortly after
back,ADP,ADV,to win back their favor
away,ADP,ADV,throw them away !
inside,ADP,ADV,"many things inside there ,"
outside,ADP,ADV,room just outside the city
inside,ADP,ADV,Mall just inside Barling .
several,ADJ,DET,", killing several people ."
such,ADJ,DET,radical groups such as Hamas
Many,ADJ,DET,"that "" Many of the"
several,ADJ,DET,out in several northern Iraqi
few,ADJ,DET,the last few years there
few,ADJ,DET,come a few years ago
few,ADJ,DET,"the past few years ,"
few,ADJ,DET,take a few minutes and
few,ADJ,DET,have a few experienced State
many,ADJ,DET,dealing of many in the
US,PROPN,PRON,The US lost yet
US,PROPN,PRON,out against US troops when
US,PROPN,PRON,that the US army got
US,PROPN,PRON,The US troops fired
US,PROPN,PRON,bad for US standing with
US,PROPN,PRON,US troops there
US,PROPN,PRON,US Marines moved
US,PROPN,PRON,by the US assault on
US,PROPN,PRON,The US Marines took
US,PROPN,PRON,bedeviling the US for some
yet,ADV,CCONJ,US lost yet another helicopter
yet,ADV,CCONJ,contact information yet for my
yet,ADV,CCONJ,it as yet - you
yet,ADV,CCONJ,my timesheet yet .
yet,ADV,CCONJ,real pictures yet ... but
yet,ADV,CCONJ,us that yet ...
yet,ADV,CCONJ,had sex yet so it
yet,ADV,CCONJ,I have yet to hear
YET,ADV,CCONJ,Best YET !
out,ADV,ADP,demonstrators came out against US
as,ADV,ADP,not quite as freewheeling an
out,ADV,ADP,"- Qaida out , the"
on,ADV,ADP,'ve moved on .
above,ADV,ADP,in the above - linked
as,ADV,ADP,n't even as popular as
around,ADV,ADP,"added that around 1,100 cartoons"
as,ADV,ADP,"Huwaijah , as well ,"
around,ADV,ADP,", ranks around fifth in"
over,ADV,ADP,Israel has over 200 nuclear
newlywed,ADJ,VERB,a yound newlywed bride .
supple,ADJ,VERB,nationalism was supple enough to
unrelated,ADJ,VERB,"an apparently unrelated incidents ,"
blessed,ADJ,VERB,"it that blessed , laudatory"
Unconfirmed,ADJ,VERB,", see Unconfirmed Sources which"
loathe,ADJ,VERB,I am loathe to quote
steep,ADJ,VERB,"up a steep cliff ,"
lead,ADJ,VERB,is the lead engineer for
unchanged,ADJ,VERB,"remain largely unchanged , I"
devoted,ADJ,VERB,I remain devoted full -
wrong,ADV,ADJ,"being done wrong , or"
least,ADV,ADJ,among the least loyal you
fifth,ADV,ADJ,ranks around fifth in nuclear
less,ADV,ADJ,is much less predictable than
sure,ADV,ADJ,like this sure makes me
first,ADV,ADJ,Oval -- first of all
best,ADV,ADJ,", as best as I"
closer,ADV,ADJ,particular future closer .
long,ADV,ADJ,I have long been a
better,ADV,ADJ,probably do better .
that,PRON,SCONJ,in ways that are bad
that,PRON,SCONJ,Palestinian leadership that will not
that,PRON,SCONJ,grow up that look to
that,PRON,SCONJ,a fight that left one
that,PRON,SCONJ,"Arabs , that of fighting"
that,PRON,SCONJ,case with that of the
That,PRON,SCONJ,That 's overstating
that,PRON,SCONJ,European Union that meets with
that,PRON,SCONJ,the evidence that the group
that,PRON,SCONJ,nuclear weapons that other countries
to,PART,ADP,a chance to present the
to,PART,ADP,supple enough to compromise with
to,PART,ADP,am loathe to quote other
to,PART,ADP,is going to rock !
to,PART,ADP,this opportunity to welcome Brian
to,PART,ADP,they can to both shape
to,PART,ADP,n't want to fall into
to,PART,ADP,are going to party .
to,PART,ADP,be ready to rock .
to,PART,ADP,Administration wants to place all
present,VERB,ADJ,chance to present the company
respected,VERB,ADJ,of the respected Association of
committed,VERB,ADJ,been absolutely committed to getting
welcome,VERB,ADJ,opportunity to welcome Brian Ryner
close,VERB,ADJ,party would close ranks with
strive,VERB,ADJ,Whatever you strive to do
open,VERB,ADJ,forgot to open my outlook
complete,VERB,ADJ,Please complete agreement and
unsubscribe,VERB,ADJ,To unsubscribe ( or
red,VERB,ADJ,on I red somewhere that
these,PRON,DET,"Usually , these are just"
those,PRON,DET,somewhat like those of chemical
This,PRON,DET,This is unlike
this,PRON,DET,Crap like this sure makes
This,PRON,DET,This is one
this,PRON,DET,hymn -- this is a
This,PRON,DET,This is not
this,PRON,DET,He announced this in January
this,PRON,DET,also announced this in January
this,PRON,DET,none of this has been
for,SCONJ,ADP,a chance for the suckups
as,SCONJ,ADP,an environment as you 'd
for,SCONJ,ADP,too high for investors to
As,SCONJ,ADP,As the survey
by,SCONJ,ADP,their best by depicting the
with,SCONJ,ADP,"2 , with the winners"
for,SCONJ,ADP,is responsible for protecting his
with,SCONJ,ADP,nuclear program with word coming
With,SCONJ,ADP,With the demand
to,SCONJ,ADP,arises on to who should
work,VERB,NOUN,They work on Wall
compromise,VERB,NOUN,enough to compromise with Israel
reports,VERB,NOUN,Xinhua reports that a
reports,VERB,NOUN,- Awsat reports that Fallujah
witness,VERB,NOUN,find -- witness the fight
risks,VERB,NOUN,", Google risks losing a"
raises,VERB,NOUN,if one raises doubts about
doubt,VERB,NOUN,I highly doubt it will
meeting,VERB,NOUN,were still meeting pockets of
face,VERB,NOUN,but still face pockets of
eventually,ADJ,ADV,company who's eventually history will
most,ADJ,ADV,"IPO , most investors have"
most,ADJ,ADV,"shows , most Google users"
most,ADJ,ADV,moved into most of Fallujah
most,ADJ,ADV,Marines took most of Fallujah
loose,ADJ,ADV,"photos , loose connections to"
most,ADJ,ADV,citizens ( most of whom
right,ADJ,ADV,"That 's right , folks"
inside,ADJ,ADV,"have no inside information ,"
most,ADJ,ADV,"Neoconservatives , most of whom"
enough,ADV,DET,was supple enough to compromise
enough,ADV,DET,remain strong enough to keep
much,ADV,DET,n't blog much right now
much,ADV,DET,that is much less predictable
all,ADV,DET,We were all American citizens
much,ADV,DET,continue doing much the same
much,ADV,DET,be very much involved with
all,ADV,DET,to get all wasted and
both,ADV,DET,we had both previously approved
all,ADV,DET,You 've all won !
before,ADV,SCONJ,the day before .
before,ADV,SCONJ,than ever before .
before,ADV,SCONJ,to it before ..
though,ADV,SCONJ,of expensive though
though,ADV,SCONJ,care of though .
though,ADV,SCONJ,place down though
before,ADV,SCONJ,been charged before .
though,ADV,SCONJ,smokehouse burger though !
though,ADV,SCONJ,get into though because of
before,ADV,SCONJ,", never before has the"
west,ADV,PROPN,50 km west of Baghdad
Sooooo,ADV,PROPN,Sooooo .
south,ADV,PROPN,home base south of Baghdad
west,ADV,PROPN,( just west of the
north,ADV,PROPN,", just north of Miami"
north,ADV,PROPN,a bit north of San
eva,ADV,PROPN,for snowboard eva .
VERYYYY,ADV,PROPN,VERYYYY !!!! VERYYY
VERYYY,ADV,PROPN,VERYYYY !!!! VERYYY !! Good
ALWAY,ADV,PROPN,friendly and ALWAY contactable even
there,ADV,PRON,US troops there clashed with
there,ADV,PRON,Americans were there by their
there,ADV,PRON,browser out there - by
who,ADV,PRON,to control who when and
there,ADV,PRON,some girls there and then
there,ADV,PRON,you all there .
there,ADV,PRON,better over there .
there,ADV,PRON,sadists out there who share
there,ADV,PRON,good seafood there
there,ADV,PRON,be vacationing there
Iraqi,PROPN,ADJ,left one Iraqi dead .
Ill,PROPN,ADJ,Kim Jong Ill also has
Monthly,PROPN,ADJ,The Washington Monthly 's Who
Brant,PROPN,ADJ,forward to Brant if you
Sheetal,PROPN,ADJ,"Hinze , Sheetal Patel ,"
unitedway.enron.com,PROPN,ADJ,type in unitedway.enron.com in the
o'neal,PROPN,ADJ,that both o'neal and matt
Brant,PROPN,ADJ,forward to Brant if you
Lone,PROPN,ADJ,"Ghulam Mohiuddin Lone , a"
Lone,PROPN,ADJ,"interrogation , Lone ' confessed"
since,ADP,SCONJ,Ever since the first
because,ADP,SCONJ,it is because of X
until,ADP,SCONJ,the wedding until sunday now
before,ADP,SCONJ,January 1 before the date
because,ADP,SCONJ,her cats because of allergies
since,ADP,SCONJ,", but since a very"
before,ADP,SCONJ,it occupies before the 1967
Before,ADP,SCONJ,"Before that ,"
until,ADP,SCONJ,7 PM until 4 AM
because,ADP,SCONJ,into though because of road
that,DET,SCONJ,"gave it that blessed ,"
that,DET,SCONJ,not deny that fact that
that,DET,SCONJ,be getting that RFP .
that,DET,SCONJ,n't soing that job
that,SCONJ,DET,problem is that customers attracted
that,SCONJ,DET,countries and that more than
that,SCONJ,DET,is true that Google has
that,SCONJ,DET,informed me that Section 7
that,SCONJ,DET,is essential that HANO comply
that,SCONJ,DET,say is that Elmira you
appeal,NOUN,ADJ,when your appeal is in
fair,NOUN,ADJ,staged this fair to explore
fair,NOUN,ADJ,"and the fair organizer ,"
fair,NOUN,ADJ,- long fair in Tehran
noncombatants,NOUN,ADJ,"of Iraqi noncombatants , including"
Welcome,NOUN,ADJ,"big "" Welcome ! """
Admin,NOUN,ADJ,gives the Admin a very
Consultant,NOUN,ADJ,-- Houston Consultant -- Energy
original,NOUN,ADJ,delete the original .
black,NOUN,ADJ,a pdf black - line
so,SCONJ,ADV,add features so they can
once,SCONJ,ADV,not change once I got
so,SCONJ,ADV,"Yahoo , so that we"
once,SCONJ,ADV,interview but once you got
like,VERB,ADP,anything they like about our
like,VERB,ADP,you would like to proceed
like,VERB,ADP,I would like to do
like,VERB,ADP,you would like to hire
like,VERB,ADP,I would like to have
like,VERB,ADP,Martin would like to attend
like,VERB,ADP,"you would like , we"
like,VERB,ADP,I would like to see
like,VERB,ADP,I would like to invite
like,VERB,ADP,who would like to play
one,PRON,NUM,but if one raises doubts
one,PRON,NUM,argue that one could have
one,PRON,NUM,a corner one would n't
either,CCONJ,DET,he is either fined or
both,CCONJ,DET,"assault , both in Iraq"
neither,CCONJ,DET,weapons yet neither the US
both,CCONJ,DET,can to both shape and
either,CCONJ,DET,This is either gross incompetence
both,CCONJ,DET,know that both o'neal and
both,CCONJ,DET,sign for both slope &
both,CCONJ,DET,of evaluating both our new
both,CCONJ,DET,to launch both supplies and
either,CCONJ,DET,expectations are either exceeded or
well,ADV,INTJ,", as well , according"
well,ADV,INTJ,Google as well .
well,ADV,INTJ,may as well just come
well,ADV,INTJ,ENA as well ?
well,ADV,INTJ,attend as well .
well,ADV,INTJ,might as well be with
well,ADV,INTJ,seakness as well as women
well,ADV,INTJ,", as well ."
well,ADV,INTJ,might as well allow Hamas
well,ADV,INTJ,eggs as well .
to,ADP,PART,", according to az -"
ta,ADP,PART,'m out ta here !
to,ADP,PART,is subject to liens .
to,ADP,PART,send it to .
to,ADP,PART,can speak to ?
to,ADP,PART,section pertains to terminated employees
to,ADP,PART,"$ 3, to $ 5,000"
to,ADP,PART,and go to
to,ADP,PART,) go to : http://www.bbc.co.uk/email
to,ADP,PART,"are new to "" The"
intrepid,ADJ,PROPN,The intrepid Ed Wong
Geometric,ADJ,PROPN,price using Geometric Brownian Mean
Brownian,ADJ,PROPN,using Geometric Brownian Mean Reverting
Kindest,ADJ,PROPN,"Kindest regards ,"
Stochastic,ADJ,PROPN,Sungjoo Lee Stochastic Processes and
East,ADJ,PROPN,---= 19 East / West
West,ADJ,PROPN,East / West - Coast
East,ADJ,PROPN,---= 19 East / West
West,ADJ,PROPN,East / West - Coast
laden,ADJ,PROPN,and is laden with cadmium
to,SCONJ,PART,absolutely committed to getting out
to,SCONJ,PART,"already committed to leaving ,"
to,SCONJ,PART,look forward to seeing you
to,SCONJ,PART,day prior to notifying the
to,SCONJ,PART,be similar to flying the
’s,AUX,PART,the world ’s ever seen
’s,AUX,PART,and what ’s scary is
s,AUX,PART,My cat s Called Frank
's,AUX,PART,"The food 's okay ,"
right,NOUN,ADV,has the right to be
right,NOUN,ADV,everyone 's right to bilateral
back,NOUN,ADV,for the back ..
right,NOUN,ADV,to the right .
away,NOUN,ADV,Quick take away .
back,NOUN,ADV,up no back aches .
right,NOUN,ADV,"defend your right , contact"
back,NOUN,ADV,on the back of my
do,AUX,VERB,not always do those three
get,AUX,VERB,Do n't get married in
did,AUX,VERB,How did the CPA
have,AUX,VERB,Only recently have a few
have,AUX,VERB,I have long been
did,AUX,VERB,He did comment on
had,AUX,VERB,which we had both previously
got,AUX,VERB,old bed got tossed in
had,AUX,VERB,& walzem had both sold
does,AUX,VERB,does teacher 's
past,SCONJ,ADJ,But getting past who should
were,ADV,AUX,the lab were uranium is
be,ADV,AUX,issued months be for .
home,ADV,NOUN,we drove home and all
home,ADV,NOUN,"to get home , """
foward,ADV,NOUN,not looking foward to that
front,ADV,NOUN,each up front so woul
longtime,ADV,NOUN,veteran and longtime NASA executive
home,ADV,NOUN,I get home at night
bellow,ADV,NOUN,the link bellow which is
hardy,ADV,NOUN,to party hardy for my
way,ADV,NOUN,There are way more stranger
thr,ADV,NOUN,open minded thr since the
No,DET,INTJ,No communications nothing
no,DET,INTJ,bark and no bite .
no,DET,INTJ,"for "" no "" reason"
No,DET,INTJ,No under 12's
no,DET,INTJ,"pack , no ramp ,"
communications,NOUN,X,No communications nothing .
releases,NOUN,X,and 2.0 releases .
H,NOUN,X,713.306.7940 ( H ) 713.864.4149
Outlook.jpg,NOUN,X,Outlook.jpg
ect,NOUN,X,"carrier , ect ."
ect,NOUN,X,"steak , ect ."
/,SYM,PUNCT,browser and / or acquiring
:-),SYM,PUNCT,and community :-)
-,SYM,PUNCT,the Google - Mozilla /
/,SYM,PUNCT,- Mozilla / Firefox relationship
/,SYM,PUNCT,"at Enron / Azurix ,"
-,SYM,PUNCT,from 1:30 - 2:30 to
/,SYM,PUNCT,questions removed / blanks filled
/,SYM,PUNCT,confidential and / or privileged
______________________,SYM,PUNCT,______________________
/,SYM,PUNCT,may and / or is
Welcome,INTJ,ADJ,Welcome Darin !
Aquire,VERB,PROPN,"to "" Aquire "" Firefox"
Pledge,VERB,PROPN,How to Pledge :
Retire,VERB,PROPN,Retire young .
mark,VERB,PROPN,HR department mark the vacation
Listing,VERB,PROPN,Listing his priorities
google,VERB,PROPN,google nazi stolen
est,VERB,PROPN,650 k est stolen works
ban,VERB,PROPN,Crack Barrel ban employees from
ban,VERB,PROPN,think they ban if the
lay,VERB,PROPN,Cockatiels can lay unfertilized eggs
admidst,ADP,NOUN,be heard admidst the higher
b/c,ADP,NOUN,want it b/c of the
b/c,ADP,NOUN,are cool b/c of the
X,NOUN,SYM,"happens after X , therefore"
X,NOUN,SYM,"caused by X ) ,"
X,NOUN,SYM,happens after X it is
X,NOUN,SYM,because of X .
$$$,NOUN,SYM,about the $$$ .
$$$,NOUN,SYM,Make $$$ .
$$$,NOUN,SYM,about the $$$ .
X,NOUN,SYM,Crenshaw ( X 3-5290 )
$$$,NOUN,SYM,"the same $$$ , please"
for,X,ADP,months be for .
To,X,ADP,Back In To The Grid
right,INTJ,ADV,"in , right ?"
btw,INTJ,ADV,"btw , they"
Kenneally,PROPN,ADV,was thinking Kenneally 's at
's,PART,AUX,thinking Kenneally 's at around
's,PART,AUX,suspend everyone 's right to
303-832-8160,NUM,NOUN,them at 303-832-8160 .
713.837.1638,NUM,NOUN,Octel ) 713.837.1638 ( Client
281.848.1619,NUM,NOUN,Client ) 281.848.1619 ( C
713.306.7940,NUM,NOUN,C ) 713.306.7940 ( H
713.864.4149,NUM,NOUN,H ) 713.864.4149 Kevin.A.Boone@accenture.com
713-664-7478,NUM,NOUN,or at 713-664-7478 .
853-3242,NUM,NOUN,713 ) 853-3242 Cell (
705-7201,NUM,NOUN,713 ) 705-7201
203.961.7523,NUM,NOUN,Dial :? 203.961.7523 Direct Fax
203.674.7723,NUM,NOUN,Fax :? 203.674.7723 E-mail :?
while,NOUN,SCONJ,in a while .
no,INTJ,DET,kidding and no i do
b/c,SCONJ,NOUN,want it b/c it is
b/c,SCONJ,NOUN,it now b/c it is
altough,SCONJ,NOUN,"attention , altough there are"
spahnn@hnks.com,PROPN,X,""" < spahnn@hnks.com >"
http://www.accenture.com,PROPN,X,address is http://www.accenture.com
H,PROPN,X,U of H 's endowment
kent.shoemaker@ae.ge.com,PROPN,X,"directly to kent.shoemaker@ae.ge.com , copy"
janesmith@paulhastings.com,PROPN,X,examples : janesmith@paulhastings.com and danjones@paulhastings.com
danjones@paulhastings.com,PROPN,X,janesmith@paulhastings.com and danjones@paulhastings.com .
noc@paulhastings.com,PROPN,X,us at noc@paulhastings.com .
johnstaikos@paulhastings.com,PROPN,X,E-mail :? johnstaikos@paulhastings.com
SOblander@carrfut.com,PROPN,X,SOblander@carrfut.com on 08/15/2000
www.adobe.com,PROPN,X,FREE from www.adobe.com .
whatever,INTJ,PRON,"whatever , you"
He,INTJ,PRON,He - he
he,INTJ,PRON,He - he .
ya,INTJ,PRON,Erm ya How can
29th,NOUN,NUM,Tuesday Aug 29th from 1:30
17th,NOUN,NUM,on August 17th !.
4th,NOUN,NUM,from October 4th to October
19th,NOUN,NUM,to October 19th and I
ID,NOUN,NUM,"Fed Tax ID however ,"
K,NOUN,NUM,39 K Download
3rd,NOUN,NUM,booking for 3rd Dec i
22th,NOUN,NUM,November 22th 2005
LD,NOUN,NUM,"ADHD , LD , and"
one,NOUN,NUM,like this one is much
AM,NOUN,AUX,04/26/2001 07:17 AM
AM,NOUN,AUX,08/17/2000 11:21 AM
AM,NOUN,AUX,10/08/99 08:52 AM
AM,NOUN,AUX,03/27/2001 09:11 AM
AM,NOUN,AUX,08/10/2000 08:28 AM
AM,NOUN,AUX,08/08/2000 11:36 AM
will,NOUN,AUX,around at will .
AM,NOUN,AUX,05/22/2001 09:25 AM
AM,NOUN,AUX,03/23/2001 10:13 AM
AM,NOUN,AUX,03/29/2001 09:01 AM
Thanks,NOUN,INTJ,"Thanks ,"
Thanks,NOUN,INTJ,"Thanks ,"
Thanks,NOUN,INTJ,"Thanks ,"
Thanks,NOUN,INTJ,Thanks .
Thanks,NOUN,INTJ,Thanks .
Thanks,NOUN,INTJ,Thanks to all
Cheers,NOUN,INTJ,Cheers
Thanks,NOUN,INTJ,Thanks .
Thanks,NOUN,INTJ,Thanks
Thanks,NOUN,INTJ,Thanks !!
redlined,VERB,X,clean and redlined version are
OK,ADJ,INTJ,We are OK to execute
sorry,ADJ,INTJ,sorry for not
okay,ADJ,INTJ,Is this okay with you
OK,ADJ,INTJ,i s OK .
ok,ADJ,INTJ,Is it ok for a
okay,ADJ,INTJ,"food 's okay , but"
okay,ADJ,INTJ,is just okay .. wo
ok,ADJ,INTJ,"It was ok , nice"
s,PRON,AUX,Let s get together
's,PRON,AUX,let 's discuss next
s,PRON,AUX,Let s call the
forward,VERB,ADV,ahead and forward to Brant
forward,VERB,ADV,ahead and forward to Brant
forward,VERB,ADV,agreement and forward to counterparty
forward,VERB,ADV,Please forward a copy
A,NOUN,DET,Mixed A / A
A,NOUN,DET,A / A Team 2
all,NOUN,DET,"clarify "" all "" do"
A,NOUN,DET,plumbing & A / C
LU,INTJ,PROPN,LU
Plz,INTJ,PROPN,Plz contact Shirley
Heh,INTJ,PROPN,"Heh , yep"
LMAO,INTJ,PROPN,"course , LMAO ."
Erm,INTJ,PROPN,Erm ya How
PLZ,INTJ,PROPN,WILL SOMEONE PLZ HELP ME
YAY,INTJ,PROPN,"YAY , great"
Yum,INTJ,PROPN,Yum .
M,PROPN,AUX,- M
IS,PROPN,AUX,Lexus IS 300 .
s,PROPN,AUX,s
D,PROPN,AUX,to play D & D
D,PROPN,AUX,D & D 3.5 and
May,PROPN,AUX,"city on May 26 ,"
Ca,PROPN,AUX,San Rafael Ca ?
Ca,PROPN,AUX,San Rafael Ca like by
collect,ADV,VERB,call us collect at +1
spanking,ADV,VERB,a hot spanking new cover
preety,ADV,VERB,they 're preety cool ...
prettty,ADV,VERB,It s prettty much the
sooooo,ADV,VERB,They are sooooo beautiful .
live,ADV,VERB,band play live and they
soooo,ADV,VERB,I was soooo lucky to
know,ADV,VERB,then look know further .
sooooo,ADV,VERB,employees are sooooo nice .
"""",NOUN,PUNCT,"buy 17 "" or 16"
"""",NOUN,PUNCT,"or 16 "" wheels for"
MD,PROPN,NUM,"Baltimore , MD 21202 Phone"
V,PROPN,NUM,V K Choudhry
K,PROPN,NUM,V K Choudhry
DD,PROPN,NUM,Favorite DD spot in
twelve,PROPN,NUM,is awesome twelve did an
(,X,PUNCT,Constellation Power ( GISB draft
),X,PUNCT,GISB draft ) .doc )
(,X,PUNCT,- ENRON-CPS ( GISB rev1
),X,PUNCT,GISB rev1 ) .doc
re,ADP,AUX,your question re on line
w,ADP,PROPN,Sale Spot w / City
f,ADP,PROPN,da syd f Ashtamudi Lake
half,ADJ,NUM,use Queensland half - hourly
4th,ADJ,NUM,like 4th street and
10th,ADJ,NUM,of S. 10th & Federal
&,CCONJ,SYM,both slope & intercept .
&,CCONJ,SYM,at fm78 & walzem had
&,CCONJ,SYM,a smoker & am a
&,CCONJ,SYM,an over-eater & so I
&,CCONJ,SYM,w/ it & will pray
&,CCONJ,SYM,play D & D 3.5
&,CCONJ,SYM,trapped somewhere & put a
&,CCONJ,SYM,Clean & tidy with
&,CCONJ,SYM,good atmosphere & pleasant staff
&,CCONJ,SYM,S. 10th & Federal Sts.
what,DET,PRON,me know what time we
which,DET,PRON,n't understand which date will
what,DET,PRON,semi-objective ( what blogger is
What,DET,PRON,What foods do
Which,DET,PRON,Which one should
which,DET,PRON,anybody know which song i
What,DET,PRON,What kind of
what,DET,PRON,to know what kind food
what,DET,PRON,and around what time they
which,DET,PRON,.. in which all places
hahaha,INTJ,NOUN,ragnarok 2 hahaha since the
sry,INTJ,NOUN,links soon sry .
Greetings,INTJ,NOUN,Greetings .
Er,INTJ,NOUN,"Er , no"
Hell,INTJ,NOUN,Hell no .
lols,INTJ,NOUN,in England lols ?
plllz,INTJ,NOUN,reasons plllz
yuck,INTJ,NOUN,yuck !!
ewww,INTJ,NOUN,"animals , ewww"
eh,INTJ,NOUN,", food eh , beer"
i,AUX,PRON,3rd Dec i s OK
s,X,AUX,Dec i s OK .
d,X,AUX,so woul d be grateful
D,X,AUX,U P D A T
D,X,AUX,T E D -
were,X,AUX,party any were you want
woul,AUX,NOUN,front so woul d be
shal,AUX,NOUN,in kerala shal i expect
shoul,AUX,NOUN,help what shoul i do
OH,PROPN,INTJ,"Chillicothe , OH area ."
DM,VERB,NUM,able to DM ... although
MIX,VERB,NUM,MIX IT ALL
U,VERB,PRON,- U P D
to,ADV,PART,be great to !
to,ADV,PART,wine list to .
one,X,NUM,to any one who has
on,NOUN,ADP,"huge turn on , so"
over,NOUN,ADP,stop - over in San
Off,NOUN,ADP,Rip Off !
out,NOUN,ADP,check - out .
up,NOUN,ADP,hour line up in the
perform,X,VERB,to out perform their bureaucratic
informed,X,VERB,very miss informed people !!
cooked,X,VERB,all over cooked was good
charged,X,VERB,Over charged .
',PART,PUNCT,"the Palestinians ' infrastructure ,"
',PART,PUNCT,old soldiers ' home .
theyy,PRON,NOUN,miramar florida theyy have good
cos,SCONJ,X,cos i ll
like,INTJ,ADP,like 2 day
like,INTJ,ADP,Rafael Ca like by the
like,INTJ,ADP,like any lounges
like,INTJ,ADP,like 4th street
Like,INTJ,ADP,Like in America
like,INTJ,ADP,i mean like not like
and,DET,CCONJ,can pick and name you
NT,NOUN,PART,5233 - NT
under,ADJ,ADP,No under 12's .
about,ADJ,ADP,doctor is about to discover
Over,ADJ,ADP,Over priced for
over,ADJ,ADP,meat all over cooked was
full,X,ADJ,their right full owners and
priced,X,ADJ,Over priced for Mexican
ssome,PRON,VERB,Can ssome oone please
plus,NOUN,CCONJ,".... another plus , it"
beacuse,SCONJ,VERB,it 's beacuse you love
♥,PUNCT,NOUN,and ask ♥
sm,DET,NOUN,to hav sm good time
